,Fold-change,p-value,%_group,%_rest,chromosome,start,end,p-bh,p-bonferroni
PABPC4,0.92608464,0.13668784377662863,0.5870967741935483,0.6102941176470589,chr1,39560709,39576790,0.981840717599211,935.0815392759164
TAPBP,0.9515809,0.27907110782379785,0.3870967741935484,0.39705882352941174,chr6,33299694,33314387,0.981840717599211,1909.125448622601
SNHG15,1.0185467,0.5101263984218534,0.4731182795698925,0.4632352941176471,chr7,44983023,44986961,0.981840717599211,3489.774691603899
NDUFB10,0.96303195,0.19981499157618632,0.8129032258064516,0.8147058823529412,chr16,1959538,1961975,0.981840717599211,1366.9343573726906
CMC2,1.0424147,0.6673989596618215,0.5591397849462365,0.5323529411764706,chr16,80966448,81020270,0.981840717599211,4565.67628304652
KIF1B,1.0067642,0.4750786574330663,0.23440860215053763,0.23088235294117648,chr1,10210570,10381603,0.981840717599211,3250.0130954996066
SNAP29,1.0374489,0.6706978849869102,0.7548387096774194,0.7088235294117647,chr22,20859007,20891214,0.981840717599211,4588.244231195453
CTNND1,1.3220646,0.9856322054836544,0.31827956989247314,0.23823529411764705,chr11,57753243,57819546,0.9948656583949473,6742.70991771368
MRPL12,1.03985,0.5461779186894684,0.6258064516129033,0.6235294117647059,chr17,81703367,81707517,0.981840717599211,3736.4031417546535
PNKD,1.073616,0.7117135294281209,0.3311827956989247,0.3073529411764706,chr2,218270392,218346793,0.981840717599211,4868.832254817776
PGRMC2,0.9971187,0.33091694824525597,0.4,0.4147058823529412,chr4,128269237,128288829,0.981840717599211,2263.802842945796
SPPL2A,0.6059608,0.005182266390815851,0.15913978494623657,0.24558823529411763,chr15,50702266,50765709,0.981840717599211,35.45188437957123
SF3B2,1.0164663,0.3385384684339673,0.5440860215053763,0.5676470588235294,chr11,66050729,66069308,0.981840717599211,2315.94166255677
ZWILCH,1.0576584,0.668323980212675,0.24516129032258063,0.22647058823529412,chr15,66504959,66550130,0.981840717599211,4572.00434863491
RNF130,0.96481866,0.6061607816250714,0.15913978494623657,0.14852941176470588,chr5,179911651,180072113,0.981840717599211,4146.745907097114
PPM1B,1.0101386,0.4752598019255758,0.23010752688172043,0.22941176470588234,chr2,44167969,44244384,0.981840717599211,3251.2523049728643
PLCG2,1.0250084,0.8235304451376554,0.9118279569892473,0.9073529411764706,chr16,81739097,81962685,0.981840717599211,5633.7717751867
NSMAF,1.1640774,0.6974846330747244,0.1827956989247312,0.1661764705882353,chr8,58583508,58659853,0.981840717599211,4771.4923748641895
TXNDC5,0.8778978,0.23017149483687582,0.3913978494623656,0.40588235294117647,chr6,7881517,7910788,0.981840717599211,1574.6031961790675
AIMP2,0.99713904,0.5142625590766903,0.24301075268817204,0.2411764705882353,chr7,6009255,6023834,0.981840717599211,3518.070166643638
PPP2R5A,1.0559778,0.9455871379159239,0.5612903225806452,0.4852941176470588,chr1,212285410,212361853,0.9872768264285571,6468.761610482835
POLR2M,1.267163,0.7707396156743478,0.17204301075268819,0.1514705882352941,chr15,57706695,57782762,0.981840717599211,5272.629710828213
RBM28,0.9191305,0.1288575301968114,0.36989247311827955,0.40441176470588236,chr7,128297685,128343908,0.981840717599211,881.5143640763868
TTI1,0.9007585,0.3454214151294332,0.17204301075268819,0.18382352941176472,chr20,37983007,38033461,0.981840717599211,2363.0279009004526
SPI1,0.83372796,0.1649746896690767,0.221505376344086,0.25441176470588234,chr11,47354860,47378547,0.981840717599211,1128.5918520261537
GALNT12,0.8855714,0.21104714737348051,0.2817204301075269,0.3088235294117647,chr9,98807670,98850081,0.981840717599211,1443.7735351819802
SUMF2,0.86727536,0.10829874561521946,0.3096774193548387,0.34705882352941175,chr7,56064002,56080670,0.981840717599211,740.8717187537163
RBM25,0.92868817,0.15677748326391355,0.5698924731182796,0.575,chr14,73058532,73123899,0.981840717599211,1072.5147630084325
PTMA,0.970712,0.07687218649178156,0.9978494623655914,0.9955882352941177,chr2,231706895,231713551,0.981840717599211,525.8826277902776
AGRN,1.2832928,0.7915732062778325,0.14408602150537633,0.1161764705882353,chr1,1020120,1056118,0.981840717599211,5415.152304146652
MFSD10,1.0547426,0.5230734335853953,0.2172043010752688,0.21764705882352942,chr4,2930561,2934834,0.981840717599211,3578.345359157689
PAFAH1B2,1.0243459,0.5613558970483459,0.44516129032258067,0.4470588235294118,chr11,117144284,117176894,0.981840717599211,3840.235691707734
C9orf64,0.76639503,0.17089109607577874,0.13763440860215054,0.1676470588235294,chr9,83938311,83956986,0.981840717599211,1169.0659882544023
ZCCHC9,0.94696337,0.4406535533004,0.4021505376344086,0.3911764705882353,chr5,81301587,81313297,0.981840717599211,3014.5109581280367
TBC1D20,0.9236947,0.3522545146084771,0.24086021505376345,0.2529411764705882,chr20,423596,462566,0.981840717599211,2409.773134436592
CD164,0.91316354,0.12899149434394325,0.7526881720430108,0.7602941176470588,chr6,109366514,109382467,0.981840717599211,882.4308128069158
PSMB3,0.9743357,0.18686576684830508,0.8903225806451613,0.8867647058823529,chr17,38752741,38764225,0.981840717599211,1278.348711009255
TUBGCP4,0.92991877,0.48298082520498486,0.16774193548387098,0.16911764705882354,chr15,43369221,43409771,0.981840717599211,3304.0718252273014
LSM7,1.0107107,0.6560196373651648,0.9204301075268817,0.9044117647058824,chr19,2321520,2328611,0.981840717599211,4487.830339215092
RANGAP1,1.2246346,0.9493817254798553,0.27741935483870966,0.21911764705882353,chr22,41244779,41286187,0.9882410809506527,6494.72038400769
DRAM2,0.9794902,0.5060617386853774,0.2946236559139785,0.28823529411764703,chr1,111117163,111140203,0.981840717599211,3461.9683543466667
UBQLN2,0.7175124,0.18065033787283008,0.10967741935483871,0.13970588235294118,chrX,56563627,56567868,0.981840717599211,1235.8289613880306
COA7,1.0796077,0.6819437630220652,0.16129032258064516,0.14558823529411766,chr1,52684449,52698347,0.981840717599211,4665.177282833948
PGPEP1,0.99435043,0.4491381526553475,0.25591397849462366,0.25882352941176473,chr19,18340598,18369950,0.981840717599211,3072.5541023152323
PABPN1,0.9702452,0.5592028554055791,0.513978494623656,0.49558823529411766,chr14,23321457,23326163,0.981840717599211,3825.5067338295667
WDR45B,1.0997763,0.6680267637557258,0.22795698924731184,0.21470588235294116,chr17,82614562,82648553,0.981840717599211,4569.9710908529205
TNPO2,1.1600431,0.6928325353051313,0.14838709677419354,0.13088235294117648,chr19,12699201,12724011,0.981840717599211,4739.667374022403
PAF1,0.9336368,0.43405708972805673,0.11182795698924732,0.1161764705882353,chr19,39385629,39391154,0.981840717599211,2969.3845508296363
CCDC130,1.0758913,0.5822079474927724,0.10752688172043011,0.10147058823529412,chr19,13731760,13763296,0.981840717599211,3982.884568798056
IKBKB,0.72382563,0.14729657776323934,0.13763440860215054,0.17205882352941176,chr8,42271302,42332460,0.981840717599211,1007.6558884783203
USP33,0.9695334,0.4578265511796533,0.36774193548387096,0.3602941176470588,chr1,77695987,77759852,0.981840717599211,3131.9914366200082
PTBP1,1.0661346,0.903984733124892,0.7311827956989247,0.7220588235294118,chr19,797075,812327,0.9831462862204687,6184.159559307386
MRPL39,0.9892489,0.6658770701389527,0.27741935483870966,0.25441176470588234,chr21,25585656,25607517,0.981840717599211,4555.265036820575
NUSAP1,1.042891,0.8473369297673882,0.513978494623656,0.4764705882352941,chr15,41320794,41381050,0.981840717599211,5796.631936538703
MYDGF,0.95544845,0.22506267036125066,0.6989247311827957,0.7088235294117647,chr19,4641374,4670362,0.981840717599211,1539.6537279413158
ZNF121,1.1600559,0.9041705953898933,0.3978494623655914,0.3514705882352941,chr19,9560329,9584504,0.9831462862204687,6185.43104306226
PWP1,1.1516382,0.8598355392210111,0.2989247311827957,0.26176470588235295,chr12,107685799,107713162,0.981840717599211,5882.134923810937
GANAB,0.99675107,0.6640206493959236,0.5311827956989247,0.5088235294117647,chr11,62624826,62646726,0.981840717599211,4542.5652625175135
CTNNAL1,1.0173018,0.8049367902917182,0.410752688172043,0.37058823529411766,chr9,108942569,109013522,0.981840717599211,5506.572582385644
OSBP,0.8974904,0.27723927441446283,0.2903225806451613,0.3073529411764706,chr11,59574398,59615774,0.981840717599211,1896.5938762693402
POLD3,1.0411191,0.5663367017801633,0.17634408602150536,0.17058823529411765,chr11,74493851,74669117,0.981840717599211,3874.309376878097
CKS2,1.0529023,0.8852929597942624,0.5978494623655914,0.5573529411764706,chr9,89311195,89316703,0.981840717599211,6056.289137952549
PTTG1IP,1.0573745,0.6994189180780636,0.5010752688172043,0.4808823529411765,chr21,44849585,44873903,0.981840717599211,4784.724818572033
TMEM50B,1.0813789,0.9100531202895288,0.35698924731182796,0.3,chr21,33432485,33479974,0.9838169847232638,6225.673395900666
TSNAX,1.0752082,0.8527662885496661,0.47956989247311826,0.43823529411764706,chr1,231528541,231566524,0.981840717599211,5833.774179968265
SEC14L1,1.0345522,0.7229131124751853,0.2731182795698925,0.25,chr17,77088749,77217101,0.981840717599211,4945.448602442742
HMX3,0.97186345,0.6311608083003208,0.2064516129032258,0.18970588235294117,chr10,123135970,123139423,0.981840717599211,4317.771089582495
BUD23,1.0388542,0.8526195725042892,0.8236559139784946,0.7647058823529411,chr7,73683025,73705161,0.981840717599211,5832.770495501843
TGDS,0.95581484,0.5075860825185181,0.15698924731182795,0.15294117647058825,chr13,94574054,94596242,0.981840717599211,3472.3963905091823
APPBP2,1.1671797,0.7305699243355891,0.12258064516129032,0.10147058823529412,chr17,60443158,60526242,0.981840717599211,4997.828852379765
ZNF282,0.9658552,0.45934289544449125,0.15698924731182795,0.16029411764705884,chr7,149195546,149226238,0.981840717599211,3142.3647477357645
FIS1,1.0685307,0.7251939840435713,0.6559139784946236,0.6588235294117647,chr7,101239458,101252316,0.981840717599211,4961.052044842071
PPP2R5E,1.0487505,0.648994565357539,0.26881720430107525,0.25441176470588234,chr14,63371364,63543377,0.981840717599211,4439.771821610924
ICAM4,0.9836646,0.6589950719731965,0.26666666666666666,0.24558823529411763,chr19,10286955,10288522,0.981840717599211,4508.185287368638
FAM3A,1.0300637,0.6409323765988,0.22580645161290322,0.21029411764705883,chrX,154506159,154516242,0.981840717599211,4384.61838831239
BRD7,1.1516249,0.953717210838804,0.47096774193548385,0.4308823529411765,chr16,50313487,50368988,0.989408843697604,6524.3794393482585
